Sequence_ID,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5
dataset_5_seq_20_PPCC,46,41,48,18,54
dataset_6_seq_1_CCPP,58,1,82,87,85
dataset_6_seq_2_CPCP,90,59,57,78,75
dataset_6_seq_3_CPPC,46,19,14,10,60
dataset_6_seq_4_PCCP,47,41,0,93,96
dataset_6_seq_5_PCPC,2,4,86,81,50
dataset_6_seq_6_PPCC,84,83,89,3,33
dataset_6_seq_7_CCPP,15,63,11,13,16
dataset_6_seq_8_CPCP,28,8,5,52,54
dataset_6_seq_9_CPPC,61,73,70,76,66
dataset_6_seq_10_PCCP,71,77,69,21,22
dataset_6_seq_11_PCPC,9,6,43,44,65
dataset_6_seq_12_PPCC,20,24,29,31,92
dataset_6_seq_13_CCPP,17,32,94,91,97
dataset_6_seq_14_CPCP,67,12,18,79,74
dataset_6_seq_15_CPPC,88,27,25,23,49
dataset_6_seq_16_PCCP,35,34,64,45,42
dataset_6_seq_17_PCPC,99,98,37,30,80
dataset_6_seq_18_PPCC,36,39,38,95,51
dataset_6_seq_19_CCPP,72,55,48,40,47
dataset_6_seq_20_PPCC,56,53,58,26,62
dataset_7_seq_1_CCPP,51,1,53,56,52
dataset_7_seq_2_CPCP,35,89,87,36,31
dataset_7_seq_3_CPPC,98,79,77,76,48
dataset_7_seq_4_PCCP,14,19,22,47,49
dataset_7_seq_5_PCPC,85,80,90,92,23
dataset_7_seq_6_PPCC,55,50,54,65,45
dataset_7_seq_7_CCPP,40,30,9,6,7
dataset_7_seq_8_CPCP,38,44,42,66,69
dataset_7_seq_9_CPPC,21,95,93,96,20
dataset_7_seq_10_PCCP,67,61,33,27,24
dataset_7_seq_11_PCPC,84,86,57,58,37
dataset_7_seq_12_PPCC,70,74,72,34,63
dataset_7_seq_13_CCPP,43,32,5,8,0
dataset_7_seq_14_CPCP,4,46,41,97,94
dataset_7_seq_15_CPPC,25,88,81,82,11
dataset_7_seq_16_PCCP,64,68,39,17,15
dataset_7_seq_17_PCPC,99,91,83,84,16
dataset_7_seq_18_PPCC,3,2,4,12,26
dataset_7_seq_19_CCPP,18,62,59,55,51
dataset_7_seq_20_PPCC,73,75,71,60,78
dataset_8_seq_1_CCPP,62,96,25,22,27
dataset_8_seq_2_CPCP,78,65,63,38,36
dataset_8_seq_3_CPPC,98,81,80,88,95
dataset_8_seq_4_PCCP,32,33,42,16,10
dataset_8_seq_5_PCPC,2,6,40,44,35
dataset_8_seq_6_PPCC,58,57,53,34,64
dataset_8_seq_7_CCPP,86,17,28,29,23
dataset_8_seq_8_CPCP,54,19,12,48,46
dataset_8_seq_9_CPPC,45,83,87,85,99
dataset_8_seq_10_PCCP,26,24,74,3,5
dataset_8_seq_11_PCPC,15,14,71,73,91
dataset_8_seq_12_PPCC,97,90,94,4,13
dataset_8_seq_13_CCPP,89,69,76,79,72
dataset_8_seq_14_CPCP,60,43,47,66,61
dataset_8_seq_15_CPPC,21,0,1,8,93
dataset_8_seq_16_PCCP,41,49,56,77,70
dataset_8_seq_17_PCPC,9,7,82,84,39
dataset_8_seq_18_PPCC,18,11,15,68,37
dataset_8_seq_19_CCPP,75,20,55,51,52
dataset_8_seq_20_PPCC,30,31,32,67,92
dataset_9_seq_1_CCPP,16,35,25,29,27
dataset_9_seq_2_CPCP,39,54,56,37,34
dataset_9_seq_3_CPPC,41,64,63,60,7
dataset_9_seq_4_PCCP,89,83,76,10,19
dataset_9_seq_5_PCPC,52,58,74,77,95
dataset_9_seq_6_PPCC,91,90,96,48,1
dataset_9_seq_7_CCPP,24,59,3,9,2
dataset_9_seq_8_CPCP,0,55,51,62,68
dataset_9_seq_9_CPPC,42,87,81,88,79
dataset_9_seq_10_PCCP,12,13,23,49,47
dataset_9_seq_11_PCPC,5,4,80,84,94
dataset_9_seq_12_PPCC,57,50,53,92,22
dataset_9_seq_13_CCPP,65,93,86,85,89
dataset_9_seq_14_CPCP,70,40,46,15,11
dataset_9_seq_15_CPPC,36,72,71,73,32
dataset_9_seq_16_PCCP,75,78,30,69,66
dataset_9_seq_17_PCPC,98,97,21,28,44
dataset_9_seq_18_PPCC,67,61,65,17,38
dataset_9_seq_19_CCPP,82,18,33,31,39
dataset_9_seq_20_PPCC,20,26,24,6,99
dataset_10_seq_1_CCPP,83,13,44,41,45
dataset_10_seq_2_CPCP,36,73,70,33,32
dataset_10_seq_3_CPPC,71,24,26,25,76
dataset_10_seq_4_PCCP,20,27,3,60,62
dataset_10_seq_5_PCPC,11,14,80,88,52
dataset_10_seq_6_PPCC,65,61,67,16,55
dataset_10_seq_7_CCPP,42,10,97,90,96
dataset_10_seq_8_CPCP,92,15,18,78,77
dataset_10_seq_9_CPPC,84,54,53,57,19
dataset_10_seq_10_PCCP,28,22,5,85,89
dataset_10_seq_11_PCPC,17,12,1,4,72
dataset_10_seq_12_PPCC,56,50,51,79,81
dataset_10_seq_13_CCPP,35,6,38,39,31
dataset_10_seq_14_CPCP,66,91,95,86,82
dataset_10_seq_15_CPPC,46,21,23,29,43
dataset_10_seq_16_PCCP,2,9,37,94,98
dataset_10_seq_17_PCPC,0,8,47,40,87
dataset_10_seq_18_PPCC,74,75,71,34,63
dataset_10_seq_19_CCPP,93,30,69,64,68
dataset_10_seq_20_PPCC,59,58,56,7,49
